6.08766e-05,-0.02222
0.0548498,-0.0201907
0.10142,-0.0184659
0.147991,-0.0167411
0.172677,-0.0269379
0.200071,-0.0259233
0.200101,-0.0370333
0.227466,-0.0249087
0.230144,-0.00258726
0.25486,-0.0238941
0.282254,-0.0228795
0.309649,-0.0218649
0.337074,-0.0319602
0.364468,-0.0309456
0.391863,-0.029931
0.419288,-0.0400264
0.446682,-0.0390118
0.471368,-0.0492086
0.495962,-0.0260755
0.50972,-0.0477881
0.537145,-0.0578835
0.56457,-0.0679789
0.589255,-0.0781757
0.616619,-0.0660511
0.644014,-0.0650365
0.668699,-0.0752334
0.740199,-0.172585
0.764884,-0.182782
0.79234,-0.203987
0.817025,-0.214184
0.844481,-0.23539
0.869196,-0.256696
0.893912,-0.278003
0.921368,-0.299209
1.10555,-0.52572
1.13301,-0.546926
1.15778,-0.590453
1.17982,-0.634081
1.2046,-0.677608
1.22937,-0.721134
1.25689,-0.76456
1.31475,-0.884639
1.33953,-0.928166
1.3616,-0.982904
1.38637,-1.02643
1.41118,-1.08107
1.4359,-1.10237
1.44704,-1.16863
1.46914,-1.23448
1.49391,-1.278
1.51872,-1.33264
1.54079,-1.38738
1.56556,-1.43091
1.59034,-1.47443
1.61515,-1.52907
1.63992,-1.5726
1.66467,-1.60501
1.68945,-1.64854
1.71422,-1.69207
1.739,-1.73559
1.76649,-1.76791
1.79123,-1.80032
1.81598,-1.83274
1.84073,-1.86516
1.86547,-1.89758
1.89019,-1.91888
1.91767,-1.9512
1.94242,-1.98361
1.96717,-2.01603
1.99188,-2.03734
2.01937,-2.06965
2.04682,-2.09086
2.07154,-2.11217
2.09626,-2.13347
2.12371,-2.15468
2.1484,-2.16487
2.17314,-2.19729
2.20057,-2.20739
2.22799,-2.21748
2.25545,-2.23869
2.28013,-2.24888
2.30756,-2.25898
2.33227,-2.28029
2.3597,-2.29038
2.38712,-2.30048
2.41184,-2.32178
2.43927,-2.33188
2.46666,-2.33086
2.49408,-2.34096
2.5188,-2.36227
2.54623,-2.37236
2.57365,-2.38246
2.59834,-2.39265
2.62576,-2.40275
2.65316,-2.40173
2.67784,-2.41193
2.7053,-2.43314
2.72995,-2.43222
2.75464,-2.44242
2.78203,-2.44141
2.80946,-2.4515
2.83685,-2.45049
2.86428,-2.46058
2.8917,-2.47068
2.91909,-2.46966
2.94649,-2.46865
2.97117,-2.47885
2.99857,-2.47783
3.02596,-2.47682
